#,HTML,Link,Title,Author,Year,Topic,Keywords,Source,,
652,"<a href=""https://em-ee.netlify.com/post/nhl_clusters.html"" target=""_blank"">Can You Cluster NHL Players On Shots?</a>",https://em-ee.netlify.com/post/nhl_clusters.html,Can You Cluster NHL Players On Shots?,Em,2018,Evaluation,"R, Shots, K Means, Shot Type",Netlify,,
653,"<a href=""https://repository.upenn.edu/cgi/viewcontent.cgi?article=1029&context=joseph_wharton_scholars"" target=_blank"">What Does It Mean To Draft Perfectly? An Evaluation of Draft Strategy In The National Hockey League</a>",https://repository.upenn.edu/cgi/viewcontent.cgi?article=1029&context=joseph_wharton_scholars,What Does It Mean To Draft Perfectly? An Evaluation of Draft Strategy In The National Hockey League,Namita Nandakumar,2017,Evaluation,"NHL Draft, Prospects, Draft Efficiency, Draft Value",University of Pennsylvania,,
654,"<a href=""https://www.vancourier.com/pass-it-to-bulis/why-quality-of-competition-doesn-t-matter-to-analytics-experts-anymore-1.23414544?utm_source=dlvr.it&utm_medium=twitter"" target=""_blank"">Why Quality of Competition Doesn't Matter To Analytics Experts Anymore</a>",https://www.vancourier.com/pass-it-to-bulis/why-quality-of-competition-doesn-t-matter-to-analytics-experts-anymore-1.23414544?utm_source=dlvr.it&utm_medium=twitter,Why Quality of Competition Doesn't Matter To Analytics Experts Anymore,Daniel Wagner,2018,Discussion,"QoC, QoT, Roles",Vancouver Courier,,
655,"<a href=""https://nextgenhockey.ca/2019/06/21/pgps-draft-slot-valuations-for-the-2019-nhl-draft/"" target=""_blank""> pGPS Draft Slot Valuations </a>",https://nextgenhockey.ca/2019/06/21/pgps-draft-slot-valuations-for-the-2019-nhl-draft/,pGPS Draft Slot Valuations,Jeremy Davis,2019,Evaluation,"Prospects, pGPS, Draft Pick Value",Next Gen Hockey,,
656,"<a href=""https://thehockeywriters.com/what-is-an-nhl-win-worth/"" target=""_blank""> What is an NHL win worth? </a>",https://thehockeywriters.com/what-is-an-nhl-win-worth/,What is an NHL win worth?,Kyle Gipe,2018,Measures,"Goals, Wins, Value",The Hockey Writers,,
657,"<a href=""https://theathletic.com/1052246/2019/06/28/analyzing-the-value-of-an-offer-sheet-which-teams-should-use-them-and-which-players-are-the-best-targets/"" target=""_blank"">Analyzing the value of an offer sheet and which teams should use them and which players are the best targets</a>",https://theathletic.com/1052246/2019/06/28/analyzing-the-value-of-an-offer-sheet-which-teams-should-use-them-and-which-players-are-the-best-targets/,Analyzing the value of an offer sheet and which teams should use them and which players are the best targets,Dom Luszczyszyn,2019,Evaluation,"Draft pick Value, Prospects, Draft, Offer Sheets",The Athletic,,
658,"<a href=""http://rpubs.com/atoumi/zone-entries-nhl/"" target=""_blank"">From Grapes and Prunes to Apples and Apples: Using Matched Methods to Estimate Optimal Zone Entry Decision-Making in the National Hockey League</a>",http://rpubs.com/atoumi/zone-entries-nhl/,From Grapes and Prunes to Apples and Apples: Using Matched Methods to Estimate Optimal Zone Entry Decision-Making in the National Hockey League,"Asmae Toumi, Michael Lopez",2019,Measures,Zone Entries,RPubs,,
659,"<a href=""https://hockey-graphs.com/2019/09/10/team-level-zone-exits/"" target=""_blank"">Team Level Zone Exits</a>",https://hockey-graphs.com/2019/09/10/team-level-zone-exits/,Team Level Zone Exits,Alex Novet,2019,Measures,"Zone Exits, Tracking",Hockey-Graphs,,
660,"<a href=""https://hockey-graphs.com/2019/09/04/visualizing-and-quantifying-passing-on-the-power-play/"" target=""_blank"">Visualizing and Quantifying Passing on the Power Play</a>",https://hockey-graphs.com/2019/09/04/visualizing-and-quantifying-passing-on-the-power-play/,Visualizing and Quantifying Passing on the Power Play,Daniel Weinberger,2019,Evaluation,"Clusters, Power play, Passing",Hockey-Graphs,,
661,"<a href=""https://hockey-graphs.com/2019/08/21/revisiting-nwhl-game-score/"" target=""_blank"">Revisiting NWHL Game Score</a>",https://hockey-graphs.com/2019/08/21/revisiting-nwhl-game-score/,Revisiting NWHL Game Score,Mike Murphy,2019,Evaluation,"Game Score, NWHL, Women's Hockey",Hockey-Graphs,,
662,"<a href=""https://hockey-graphs.com/2019/08/20/the-most-boring-possession-in-hockey-exploring-what-happens-after-nz-faceoff-wins/"" target=""_blank"">The Most Boring Possession in Hockey - Exploring What Happens After NZ Faceoff Wins</a>",https://hockey-graphs.com/2019/08/20/the-most-boring-possession-in-hockey-exploring-what-happens-after-nz-faceoff-wins/,The Most Boring Possession in Hockey - Exploring What Happens After NZ Faceoff Wins,Daniel Weinberger,2019,Evaluation,"Faceoffs, Neutral Zone",Hockey-Graphs,,
663,"<a href=""https://hockey-graphs.com/2019/08/15/expected-goals-model-with-pre-shot-movement-part-4-variable-importance/"" target=""_blank"">Expected Goals Model With Pre-Shot Movement Part 4</a>",https://hockey-graphs.com/2019/08/15/expected-goals-model-with-pre-shot-movement-part-4-variable-importance/,Expected Goals Model With Pre-Shot Movement Part 4,Alex Novet,2019,Evaluation,"Expected Goals, Pre-Shot Movement, Tracking, Passing, xG",Hockey-Graphs,,
664,"<a href=""https://hockey-graphs.com/2019/08/14/expected-goals-model-with-pre-shot-movement-part-3-2018-2019-data/"" target=""_blank"">Expected Goals Model With Pre-Shot Movement Part 3</a>",https://hockey-graphs.com/2019/08/14/expected-goals-model-with-pre-shot-movement-part-3-2018-2019-data/,Expected Goals Model With Pre-Shot Movement Part 3,Alex Novet,2019,Evaluation,"Expected Goals, Pre-Shot Movement, Tracking, Passing, xG",Hockey-Graphs,,
665,"<a href=""https://hockey-graphs.com/2019/08/13/expected-goals-model-with-pre-shot-movement-part-2-historic-team-and-player-results/"" target=""_blank"">Expected Goals Model With Pre-Shot Movement Part 2</a>",https://hockey-graphs.com/2019/08/13/expected-goals-model-with-pre-shot-movement-part-2-historic-team-and-player-results/,Expected Goals Model With Pre-Shot Movement Part 2,Alex Novet,2019,Evaluation,"Expected Goals, Pre-Shot Movement, Tracking, Passing, xG",Hockey-Graphs,,
666,"<a href=""https://hockey-graphs.com/2019/08/12/expected-goals-model-with-pre-shot-movement-part-1-the-model/"" target=""_blank"">Expected Goals Model With Pre-Shot Movement Part 1</a>",https://hockey-graphs.com/2019/08/12/expected-goals-model-with-pre-shot-movement-part-1-the-model/,Expected Goals Model With Pre-Shot Movement Part 1,Alex Novet,2019,Evaluation,"Expected Goals, Pre-Shot Movement, Tracking, Passing, xG",Hockey-Graphs,,
667,"<a href=""https://hockey-graphs.com/2019/08/01/exit-types-dont-affect-entry-quality-much/"" target=""_blank"">Exit Types Don't Affect Entry Quality Much</a>",https://hockey-graphs.com/2019/08/01/exit-types-dont-affect-entry-quality-much/,Exit Types Don't Affect Entry Quality Much,Alex Novet,2019,Measures,"Zone Exits, Zone Entries, Tracking",Hockey-Graphs,,
668,"<a href=""https://hockey-graphs.com/2019/07/30/why-possession-is-the-key-to-zone-exits/"" target=""_blank"">Why Possession is the Key to Zone Exits</a>",https://hockey-graphs.com/2019/07/30/why-possession-is-the-key-to-zone-exits/,Why Possession is the Key to Zone Exits,Alex Novet,2019,Measures,"Zone Exits, Tracking",Hockey-Graphs,,
669,"<a href=""http://chan.mie.utoronto.ca/wp-content/uploads/2012/05/HockeyClustering.pdf"" target=""_blank"">Quantifying the Contribution of NHL Player Types to Team Performance</a>",http://chan.mie.utoronto.ca/wp-content/uploads/2012/05/HockeyClustering.pdf,Quantifying the Contribution of NHL Player Types to Team Performance,Timothy Chan,2012,Evaluation,"Clusters, Positions, Goalies, Regression",Interfaces,,
670,"<a href=""https://hockey-graphs.com/2019/07/01/evaluating-nordic-drafting-a-potential-market-inefficiency/"" target=""_blank"">Evaluating Nordic Drafting - A Potential Market Inefficiency</a>",https://hockey-graphs.com/2019/07/01/evaluating-nordic-drafting-a-potential-market-inefficiency/,Evaluating Nordic Drafting - A Potential Market Inefficiency,Prashanth Iyer,2019,Evaluation,"Prospects, Sweden, Finland, CHL, USHL, USDP",Hockey-Graphs,,
671,"<a href=""https://hockey-graphs.com/2019/05/17/projecting-nhl-skater-contracts-for-the-2019-offseason/"" target=""_blank"">Projecting NHL Skater Contracts for the 2019 Offseason</a>",https://hockey-graphs.com/2019/05/17/projecting-nhl-skater-contracts-for-the-2019-offseason/,Projecting NHL Skater Contracts for the 2019 Offseason,Evolving Wild,2019,Evaluation,"Contracts, Random Forest, Salary Cap",Hockey-Graphs,,
672,"<a href=""https://thesportsdaily.com/2018/03/16/the-nhl-has-an-officiating-problem/"" target=""_blank"">The NHL Has An Officiating Problem</a>",https://thesportsdaily.com/2018/03/16/the-nhl-has-an-officiating-problem/,The NHL Has An Officiating Problem,Rex Libris,2018,Evaluation,"Refs, Penalties, Referees, Rate of Call",The Sports Daily,,
673,"<a href=""https://threepointgames.blogspot.com/2018/03/measuring-consistency.html"" target=""_blank"">Measuring Consistency</a>",https://threepointgames.blogspot.com/2018/03/measuring-consistency.html,Measuring Consistency,Jake Flancer,2018,Evaluation,"Consistency, Game Score",Three Point Games,,
674,"<a href=""https://threepointgames.blogspot.com/2017/12/adjusting-historical-player-performance.html"" target=""_blank"">Adjusting Historical Player Performance Using Talent Distribution Part 1</a>",https://threepointgames.blogspot.com/2017/12/adjusting-historical-player-performance.html,Adjusting Historical Player Performance Using Talent Distribution Part 1,Jake Flancer,2017,Evaluation,"Lorenz Curve, Gini Coefficient, Era, Hall of Fame",Three Point Games,,
675,"<a href=""https://threepointgames.blogspot.com/2018/01/era-adjustments-continued_2.html"" target=""_blank"">Adjusting Historical Player Performance Using Talent Distribution Part 2</a>",https://threepointgames.blogspot.com/2018/01/era-adjustments-continued_2.html,Adjusting Historical Player Performance Using Talent Distribution Part 2,Jake Flancer,2018,Evaluation,"Lorenz Curve, Gini Coefficient, Era, Hall of Fame",Three Point Games,,
676,"<a href=""https://threepointgames.blogspot.com/2018/01/era-adjustments-part-3.html"" target=""_blank"">Adjusting Historical Player Performance Using Talent Distribution Part 3</a>",https://threepointgames.blogspot.com/2018/01/era-adjustments-part-3.html,Adjusting Historical Player Performance Using Talent Distribution Part 3,Jake Flancer,2018,Evaluation,"Lorenz Curve, Gini Coefficient, Era, Hall of Fame",Three Point Games,,
677,"<a href=""https://threepointgames.blogspot.com/2018/06/can-we-predict-nhl-success-from-world.html"" target=""_blank"">Can We Predict NHL Success From World Juniors Performance?</a>",https://threepointgames.blogspot.com/2018/06/can-we-predict-nhl-success-from-world.html,Can We Predict NHL Success From World Juniors Performance?,Jake Flancer,2018,Evaluation,"Prospects, World Juniors, NHL",Three Point Games,,
678,"<a href=""https://threepointgames.blogspot.com/2018/05/who-plays-where-determining-skater.html"" target=""_blank"">Who Plays Where? Determing Skater Positions Through Clustering</a>",https://threepointgames.blogspot.com/2018/05/who-plays-where-determining-skater.html,Who Plays Where? Determing Skater Positions Through Clustering,Jake Flancer,2018,Evaluation,"Clusters, Positions",Three Point Games,,
679,"<a href=""https://threepointgames.blogspot.com/2018/04/introducing-definitive-hart-trophy.html"" target=""_blank"">Introducing The Definitive Hart Trophy Score - The Wyshynski Score</a>",https://threepointgames.blogspot.com/2018/04/introducing-definitive-hart-trophy.html,Introducing The Definitive Hart Trophy Score - The Wyshynski Score,Jake Flancer,2018,Evaluation,"Hart Trophy, MVP",Three Point Games,,
680,"<a href=""https://hockey-graphs.com/2019/09/12/the-importance-of-pressure-for-a-successful-forecheck/"" target=""_blank"">The Importance of Pressure for a Successful Forecheck</a>",https://hockey-graphs.com/2019/09/12/the-importance-of-pressure-for-a-successful-forecheck/,The Importance of Pressure for a Successful Forecheck,Alex Novet,2019,Measures,"Coaching, Forechecking, Tracking, Neutral Zone",Hockey-Graphs,,
681,"<a href=""https://hockeyviz.com/txt/magnus2EV"" target=""_blank"">Magnus 2 - EV</a>",https://hockeyviz.com/txt/magnus2EV,Magnus 2 - EV,Micah Blake McCurdy,2019,Evaluation,"Model, Regression",Hockey Viz,,
682,"<a href=""https://hockey-graphs.com/2019/12/11/an-introduction-to-r-with-hockey-data/"" target=""_blank"">An Introduction to R With Hockey Data</a>",https://hockey-graphs.com/2019/12/11/an-introduction-to-r-with-hockey-data/,An Introduction to R With Hockey Data,Meghan Hall,2019,Introduction,"R, Introduction, Hockey Statistics",Hockey-Graphs,,
683,"<a href=""https://hockey-graphs.com/2019/10/24/lateral-puck-movement-in-the-nz/"" target=""_blank"">Lateral Puck Movement In The Neutral Zone</a>",https://hockey-graphs.com/2019/10/24/lateral-puck-movement-in-the-nz/,Lateral Puck Movement In The Neutral Zone,Daniel Weinberger,2019,Evaluation,"Lateral, Neutral Zone, Passing",Hockey-Graphs,,
684,"<a href=""https://hockey-graphs.com/2019/10/22/passing-clusters-a-framework-to-evaluate-a-teams-breakout/"" target=""_blank"">Passing Clusters - A Framework To Evaluate A Teams Breakout</a>",https://hockey-graphs.com/2019/10/22/passing-clusters-a-framework-to-evaluate-a-teams-breakout/,Passing Clusters - A Framework To Evaluate A Teams Breakout,Daniel Weinberger,2019,Evaluation,"Breakouts, Zone Exit, Passing",Hockey-Graphs,,
685,"<a href=""https://hockey-graphs.com/2019/10/08/exploratory-data-analysis-using-tidyverse/"" target=""_blank"">Exploratory Data Analysis Using Tidyverse</a>",https://hockey-graphs.com/2019/10/08/exploratory-data-analysis-using-tidyverse/,Exploratory Data Analysis Using Tidyverse,Meghan Hall,2019,Introduction,"R, Tidyverse, Introduction",Hockey-Graphs,,
686,"<a href=""https://hockey-graphs.com/2019/09/19/combining-manually-tracked-data-with-play-by-play-data/"" target=""_blank""> Combining Manually Tracked Data With Play-By-Play Data</a>",https://hockey-graphs.com/2019/09/19/combining-manually-tracked-data-with-play-by-play-data/,Combining Manually Tracked Data With Play-By-Play Data,Meghan Hall,2019,Introduction,"R, Tidyverse, Introduction",Hockey-Graphs,,
687,"<a href=""https://theathletic.com/1381978/2019/12/05/hockey-advanced-stats-primer-part-2-how-can-and-should-we-measure-play-driving-ability/"" target=""_blank"">Hockey Advanced Stats Primer Part 2 - How Can And Should We Measure Play Driving Ability</a>",https://theathletic.com/1381978/2019/12/05/hockey-advanced-stats-primer-part-2-how-can-and-should-we-measure-play-driving-ability/,Hockey Advanced Stats Primer Part 2 - How Can And Should We Measure Play Driving Ability,Charlie O'Connor,2019,Introduction,"Microstats, WOWY, Relative, Threat, RAPM",The Athletic,,
688,"<a href=""https://theathletic.com/1450527/2019/12/12/why-nhl-coaches-need-to-revisit-the-idea-that-goalies-shouldnt-start-on-back-to-back-nights/"" target=""_blank""> Why NHL Coaches Need To Revisit The Idea That Goalies Shouldn't Start On Back-To-Back Nights</a>",https://theathletic.com/1450527/2019/12/12/why-nhl-coaches-need-to-revisit-the-idea-that-goalies-shouldnt-start-on-back-to-back-nights/,Why NHL Coaches Need To Revisit The Idea That Goalies Shouldn't Start On Back-To-Back Nights,Dom Luszczyszyn,2019,Evaluation,"Goalies, Back-To-Back",The Athletic,,
689,"<a href=""https://theathletic.com/1280893/2019/10/10/by-the-numbers-the-significance-of-the-seasons-first-five-games-in-forecasting-an-nhls-teams-future-performance/"" target=""_blank"">By The Numbers - The Significance Of The Seasons First Five Games In Forecasting An NHL Teams Future Performance</a>",https://theathletic.com/1280893/2019/10/10/by-the-numbers-the-significance-of-the-seasons-first-five-games-in-forecasting-an-nhls-teams-future-performance/,By The Numbers - The Significance Of The Seasons First Five Games In Forecasting An NHL Teams Future Performance,Dom Luszczyszyn,2019,Evaluation,"Projection, Five Games, Team Performance",The Athletic,,
690,"<a href=""https://www.wingingitinmotown.com/2019/10/21/20893339/nhl-gm-efficiency-from-ritsac-measuring-which-teams-get-the-most-bang-for-their-buck"" target=""_blank"">NHL GM Efficiency - Measuring Which Teams Get The Most Bang For Their Buck</a>",https://www.wingingitinmotown.com/2019/10/21/20893339/nhl-gm-efficiency-from-ritsac-measuring-which-teams-get-the-most-bang-for-their-buck,NHL GM Efficiency - Measuring Which Teams Get The Most Bang For Their Buck,Peter Flynn,2019,Evaluation,"GM, Contracts, Salary Cap",Winging It In Motown,,
691,"<a href=""https://content.iospress.com/download/journal-of-sports-analytics/jsa192?id=journal-of-sports-analytics%2Fjsa192"" target=""_blank"">The Evaluation Of Pace Of Play In Hockey</a>",https://content.iospress.com/download/journal-of-sports-analytics/jsa192?id=journal-of-sports-analytics%2Fjsa192,The Evaluation Of Pace Of Play In Hockey,"Rajitha Silva, Jack Davis, Tim Swartz",2018,Evaluation,Pace,Journal of Sports Analytics,,
692,"<a href=""https://rpubs.com/cjtdevil/nhl_aging"" target=""_blank"">NHL Aging</a>",https://rpubs.com/cjtdevil/nhl_aging,NHL Aging,CJ Turturo,2019,Evaluation,"Aging Curves, GAM, GAR",RPubs,,
693,"<a href=""https://content.iospress.com/download/journal-of-sports-analytics/jsa0015?id=journal-of-sports-analytics%2Fjsa0015"" target=""_blank"">Estimating The Return On Investment From NHL Scouting</a>",https://content.iospress.com/download/journal-of-sports-analytics/jsa0015?id=journal-of-sports-analytics%2Fjsa0015,Estimating The Return On Investment From NHL Scouting,"Michael Schuckers, Steve Argeris",2019,Evaluation,"Scouting, Return On Investment",Journal of Sports Analytics,,
694,"<a href=""https://hockeyviz.com/txt/magnus2"" target=""_blank"">Magnus 2 - Umbrella</a>",https://hockeyviz.com/txt/magnus2,Magnus 2 - Umbrella,Micah Blake McCurdy,2019,Evaluation,"Model, Regression",Hockey Viz,,
695,"<a href=""https://hockeyviz.com/txt/magnus2SG"" target=""_blank"">Magnus 2 - Shooting And Goaltending</a>",https://hockeyviz.com/txt/magnus2SG,Magnus 2 - Shooting And Goaltending,Micah Blake McCurdy,2019,Evaluation,"Model, Regression, Shooting, Goaltending",Hockey Viz,,
696,"<a href=""https://www.rawcharge.com/2020/1/9/21057329/putting-numbers-to-two-common-goalie-terms-steals-and-quality-starts-nhl-hockey-statistics-analytics"" target=""_blank"">Putting Numbers To Two Common Goalie Terms - Steals And Quality Starts</a>",https://www.rawcharge.com/2020/1/9/21057329/putting-numbers-to-two-common-goalie-terms-steals-and-quality-starts-nhl-hockey-statistics-analytics,Putting Numbers To Two Common Goalie Terms - Steals And Quality Starts,Loserpoints,2020,Evaluation,"Goalies, Quality Starts, Steals",,,
697,"<a href=""https://meghan.rbind.io/post/score-effects/"" target=""_blank"">Examining Score Effects on Special Teams</a>",https://meghan.rbind.io/post/score-effects/,Examining Score Effects on Special Teams,Meghan Hall,2020,Evaluation,"Score Effects, Special Teams",Meghan Hall Rbind,,
698,"<a href=""https://meghan.rbind.io/talk/seahac/"" target=""_blank"">Aggression and Success in Goalie Pulling</a>",https://meghan.rbind.io/talk/seahac/,Aggression and Success in Goalie Pulling,Meghan Hall,2019,Evaluation,"Goalies, Goalie Pull, Timing",Meghan Hall Rbind,,
699,"<a href=""https://meghan.rbind.io/talk/ritsac/"" target=""_blank"">Tracking Increasing Offense on the Penalty Kill<a/>",https://meghan.rbind.io/talk/ritsac/,Tracking Increasing Offense on the Penalty Kill,Meghan Hall,2019,Evaluation,"Penalty Kill, Power Kill, Offense",Meghan Hall Rbind,,
700,"<a href=""https://archive.ph/mF4iH"" target=""_blank"">Discrete Defensive Strategies on the Penalty Kill</a>",https://archive.ph/mF4iH,Discrete Defensive Strategies on the Penalty Kill,Meghan Hall,2019,Evaluation,"Penalty Kill, Defense, Strategy",Meghan Hall Rbind,,
701,"<a href=""https://medium.com/nightingale/so-you-want-to-make-a-hockey-data-viz-dda7b347f117"" target=""_blank"">So you want to make a hockey data viz?</a>",https://medium.com/nightingale/so-you-want-to-make-a-hockey-data-viz-dda7b347f117,So you want to make a hockey data viz?,Meghan Hall,2019,Graphics,"Data, Data Visualization",Medium,,
702,"<a href=""http://boysonthebus.com/index.php/2020/01/22/the-unlikeliness-of-goaltending-a-new-methodology-to-assess-talent/"" target=""_blank"">The unlikeliness of goaltending - a new methodology to assess talent</a>",http://boysonthebus.com/index.php/2020/01/22/the-unlikeliness-of-goaltending-a-new-methodology-to-assess-talent/,The unlikeliness of goaltending - a new methodology to assess talent,Michael Parkatti,2020,Evaluation,"Goalies, Likelihood Analysis, Expected Goals",Boys On The Bus,,
703,"<a href=""http://www.delaraanalytics.com/importance-of-roster-depth-in-the-nhl/"" target=""_blank"">Importance of Roster Depth in the NHL</a>",http://www.delaraanalytics.com/importance-of-roster-depth-in-the-nhl/,Importance of Roster Depth in the NHL,Nathan de Lara,2020,Evaluation,"Depth, Gini Coefficient, GAR, Wins",de Lara Analytics,,
704,"<a href=""http://www.delaraanalytics.com/ritsac-slides-xpg/"" target=""_blank"">Measuring Goals Added Through Passes and Skating in the NHL</a>",http://www.delaraanalytics.com/ritsac-slides-xpg/,Measuring Goals Added Through Passes and Skating in the NHL,Nathan de Lara,2019,Evaluation,"Passing, Skating, Value, Goals",de Lara Analytics,,
705,"<a href=""http://www.delaraanalytics.com/an-analytical-look-at-this-summers-rfas/"" target=""_blank"">An Analytical Look at this Summer's RFA's</a>",http://www.delaraanalytics.com/an-analytical-look-at-this-summers-rfas/,An Analytical Look at this Summer's RFA's,Nathan de Lara,2019,Evaluation,"Contracts, RFA's, Restricted, Offer Sheet",de Lara Analytics,,
706,"<a href=""https://hockeyviz.com/txt/scoreSeq"" target=""_blank"">Score Sequence</a>",https://hockeyviz.com/txt/scoreSeq,Score Sequence,Micah Blake McCurdy,2020,Evaluation,"Score Effects, Score Sequence",Hockey Viz,,
707,"<a href=""http://statsportsconsulting.com/main/wp-content/uploads/Text_Mining_of_Scouting_Reports_for_Improving_NHL_Draft_Analytics.pdf"" target=""_blank"">Text Mining of Scouting Reports for Improving NHL Draft Analytics</a>",http://statsportsconsulting.com/main/wp-content/uploads/Text_Mining_of_Scouting_Reports_for_Improving_NHL_Draft_Analytics.pdf,Text Mining of Scouting Reports for Improving NHL Draft Analytics,"Timo Seppa, Michael Schuckers, Mike Rovito",2017,Evaluation,"Prospects, Scouting, Scouting Reports, Text Mining",Stat Sports Consulting,,
708,"<a href=""http://www.sloansportsconference.com/wp-content/uploads/2016/02/1559-Draft-by-Numbers.pdf"" target=""_blank"">Draft By Numbers - Using Data and Analytics to Improve National Hockey League (NHL) Player Selection</a>",http://www.sloansportsconference.com/wp-content/uploads/2016/02/1559-Draft-by-Numbers.pdf,Draft By Numbers - Using Data and Analytics to Improve National Hockey League (NHL) Player Selection,Michael Schuckers,2016,Evaluation,"NHL Draft, GAM, Poisson",Sloan Sports Conference,,
709,"<a href=""https://t.co/mrPzMb35ay"" target=""_blank"">Exploring tidymodels With Hockey Data</a>",https://t.co/mrPzMb35ay,Exploring tidymodels With Hockey Data,Meghan Hall,2020,Introduction,"Modeling, Tidyverse, Tinymodels, R, GGPlot",Meghan Hall Rbind,,
710,"<a href=""https://t.co/kds9bIUfWK"" target=""_blank"">Exploring tidymodels With Hockey Data</a>",https://t.co/kds9bIUfWK,Exploring tidymodels With Hockey Data,Meghan Hall,2020,Introduction,"Introduction, Visualization, Tableau, Tutortials",Meghan Hall RBind,,
711,"<a href=""https://cj-turtoro.shinyapps.io/NNHLe-writeup/"" target=""_blank"">Network NHLe (NNHLe)</a>",https://cj-turtoro.shinyapps.io/NNHLe-writeup/,Network NHLe (NNHLe),CJ Turturo,2020,Measures,"NHLe, Prospects, Scouting, Neural Network, Relationships, SHL, KHL, AHL, CHL, OHL, QMJHL",CJ Tuturo ShinyApp,,
712,"<a href=""https://hockey-graphs.com/2020/04/16/using-data-to-inform-shorthanded-neutral-zone-decisions/"" target=""_blank"">Using Data to Inform Shorthanded Neutral Zone Decisions</a>",https://hockey-graphs.com/2020/04/16/using-data-to-inform-shorthanded-neutral-zone-decisions/,Using Data to Inform Shorthanded Neutral Zone Decisions,Shawn Ferris,2020,Evaluation,"Penalty Kill, PK, Neutral Zone, Systems, Systems Analysis, Powerkill, Decision Making",Hockey Graphs,,
713,"<a href=""https://drive.google.com/file/d/1FW209Tq8_08sW7Hcwb7JxYKzc9B7BZaG/view"" target=""_blank"">Rebound Generation and Recovery</a>",https://drive.google.com/file/d/1FW209Tq8_08sW7Hcwb7JxYKzc9B7BZaG/view,Rebound Generation and Recovery,Alex Novet,2020,Evaluation,"Rebounds, Rebound Evaluation, Goaltending, Team Evaluation, Player Evaluation, AHL",CBJHAC 2020 - Hackathon,,
714,"<a href=""https://player-archetypes.netlify.app/"" target=""_blank"">International Player Archetypes - Spider Plot App</a>",https://player-archetypes.netlify.app/,International Player Archetypes - Spider Plot App,An Nguyen,2021,,"Player Evaluation, Womens Hockey,Archetypes, Big Data Cup",,,
715,"<a href=""https://benhowell71.com/measuring-passing-skill-in-the-nwhl/""  target=""_blank"">Measuring Passing Skill in the NWHL</a>",https://benhowell71.com/measuring-passing-skill-in-the-nwhl/,Measuring Passing Skill in the NWHL,Ben Howell,2021,,"NWHL/PHF,Model(s),Passing,R,Women's Hockey,Bayesian,Regression,Big Data Cup, Bayesian, Mixed Models",,,
716,"<a href=""https://benhowell71.com/aging-curves-in-womens-hockey-nwhl-edition/"" target=""_blank"">Aging Curves in the NWHL</a>",https://benhowell71.com/aging-curves-in-womens-hockey-nwhl-edition/,Aging Curves in the NWHL,Ben Howell,2021,,"Aging Curve(s),Women's Hockey,NWHL/PHF,R,Model(s),Projection(s),Marcels,Regression,Big Data Cup",,,
717,"<a href=""https://github.com/dtreisman/BigDataCup2021"" target=""_blank"">A Framework for Assesing Shooting and Passing Skill in the NWHL</a>",https://github.com/dtreisman/BigDataCup2021,A Framework for Assesing Shooting and Passing Skill in the NWHL,Dani Treisman,2021,,"Women's Hockey,Passing, NWHL/PHF, xG,Big Data Cup, Generalized Linear Mixed Models",,,
718,"<a href=""https://github.com/SCasanova/Big-Data-Cup-2021"" target=""_blank"">An Analysis of Decision Making to improve scoring chances in Womens Hockey</a>",https://github.com/SCasanova/Big-Data-Cup-2021,An Analysis of Decision Making to improve scoring chances in Womens Hockey,Tej Seth and Santiago Casanova,2021,,"Women's Hockey,NWHL/PHF, xG,Passing,Big Data Cup, Gradient Boosting Algorithm",,,
719,"<a href=""https://benhowell71.com/big-data-cup-submission/"" target=""_blank"">How Do We Get There: Quantifying Pass Types and Their Value</a>",https://benhowell71.com/big-data-cup-submission/,How Do We Get There: Quantifying Pass Types and Their Value,Ben Howell,2021,,"NWHL/PHF,Player Evaluation,Big Data Cup,Passing,Pre-Shot Movement,Women's Hockey,Scoring / Goals,Score Effects,Shot Distance,Shot Quality,Shots / Shooting,Expected Goals / xG,",,,
720,"<a href=""https://theirhockeycounts.com/index.html"" target=""_blank"">Their Hockey Counts</a>",https://theirhockeycounts.com/index.html,Their Hockey Counts,Mike Murphy,2021,,"NWHL/PHF,CWHL,Counting Stats,NCAA,Olympics,Women's Hockey,U18, PWHPA",,,
721,"<a href=""https://drive.google.com/drive/folders/1hbU7qBAEHki1BviQ6_j-QYwn6UEtLQPK"" target=""_blank"">Olympics Shot Data</a>",https://drive.google.com/drive/folders/1hbU7qBAEHki1BviQ6_j-QYwn6UEtLQPK,Olympics Shot Data,Mikael Nahabedian,2021,,"Olympics,Shots / Shooting,Women's Hockey,",,,
722,"<a href=""https://github.com/bigdatacup/Big-Data-Cup-2021"" target=""_blank"">Big Data Cup 2021 - Data</a>",https://github.com/bigdatacup/Big-Data-Cup-2021,Big Data Cup 2021 - Data,Stathletes,2021,,"Women's Hockey,NWHL/PHF,NCAA,Play By Play,Big Data Cup, Tracking Data",,,
723,"<a href=""https://hockey-graphs.com/2019/08/21/revisiting-nwhl-game-score/"">Revisiting NWHL Game Score </a>",https://hockey-graphs.com/2019/08/21/revisiting-nwhl-game-score/,Revisiting NWHL Game Score,Mike Murphy,2019,,"NWHL,Women's Hockey,Skaters,",,,
